handle,time,tweets
Fender,5/7/2019 18:04,The Duff McKagan Deluxe Precision Bass was inspired by the 80s Jazz Bass Special he played on @gunsnroses’ Appetite… https://t.co/R5UEFSJgU8
Fender,5/6/2019 22:19,"@RibeiroR72 We announced the winners last week, you can see what they won here: https://t.co/7o2R0VGA9x"
Fender,5/6/2019 21:32,A few great photos from the opening of the Fender exhibit at  @museumfullerton this weekend! The next time you're i… https://t.co/Kkc468bDnY
Fender,5/6/2019 21:00,"Nothing beats catching a few riffs on a Surf Green Jaguar.

🎸 — American Original '60s Jaguar
More info:… https://t.co/28PqTRtwWL"
Fender,5/6/2019 18:31,"RT @rockhall: The Hoss. @muddyofficial preferred guitar, a @fender 1957 Telecaster. Remember the immeasurable talent of Inductee Waters tod…"
Fender,5/5/2019 16:00,Head to the Fender website to scope out the latest additions to the California Series Acoustic Guitars. Which one a… https://t.co/bGMnFJEyni
Fender,5/4/2019 16:00,What vibes are you getting from this Surf Green Squier Classic Vibe '70s Jaguar? Scope out the rest of the Squier C… https://t.co/NIyhBIqHOo
Fender,5/4/2019 11:00,"So, who wants to see Mumford &amp; Sons at @allpointseastuk on June 1? Talking about sons, @samfendermusic will be ther… https://t.co/FHkr38AOfC"
Fender,5/3/2019 15:33,Fender at @thegreatescape will be epic and we can’t wait! See you all  next week at the Old Market! https://t.co/GAUGPFdNcY
Fender,5/3/2019 15:02,"Congrats @individual6827 @guynamedfawkes @Jones89Dan, DM us your details please."
Fender,5/3/2019 0:14,"RT @judahandthelion: *LAST DAY TO ENTER* Pre-save our album ""Pep Talks"" to be entered to win this @Fender Malibu guitar that was played by…"
Fender,5/3/2019 0:02,@bigTvassallo @LuciusPaisley We announced the winner yesterday! Check out the article here: https://t.co/7o2R0VGA9x
Fender,5/2/2019 21:00,"#DYK when you complete the #FenderPlay Folk Path, you'll know rhythm guitar hammer-ons, Travis fingerstyle picking,… https://t.co/tpFmdcUk2G"
Fender,5/2/2019 18:32,@_DylanBenjamin That's awesome! Be sure to share your progress  🎸
Fender,5/2/2019 17:54,@robertsoneuan The Classic Vibe Telecaster® '50s comes shipped with 9-42 gauge strings! https://t.co/KHJIXTYBkr
Fender,5/2/2019 16:30,"🚨After over 6,000 entries in the first run, we are introducing the second #FenderUpgradeContest! This time we’re op… https://t.co/nYna0xZxeb"
Fender,5/1/2019 23:57,It's almost time for Fender Play LIVE! Tune in here: https://t.co/fbJkHmjGFM https://t.co/ZxdQj4q2ao
