handle,time,tweet
gibsonguitar,5/7/2019 14:52,A Modern Les Paul for every player. #gibson #theoriginal #onlyagibsonisgoodenough https://t.co/f2qfeb4uix
gibsonguitar,5/6/2019 14:37,Be Relevant with Gibson’s Modern Collection. #gibson #theoriginal #onlyagibsonisgoodenough https://t.co/Cf9HtRsKi7
gibsonguitar,5/5/2019 22:07,@BillyFGibbons of @ZZTop stopped by to try out the 1957 Les Paul Goldtop Reissue VOS by @gibsoncustom 🤘 Head to our… https://t.co/lay2u3sbwi
gibsonguitar,5/4/2019 4:44,@BillyFGibbons of @ZZTop stopped by to try out the 1957 Les Paul Goldtop Reissue by @gibsoncustom 🤘 Head to our You… https://t.co/EYVaGxzPbz
gibsonguitar,5/3/2019 15:05,"The Les Paul Standard 50's has a solid mahogany body with a maple top, a rounded 50's-style mahogany neck with a ro… https://t.co/HeLNR1tXsY"
gibsonguitar,5/2/2019 19:46,Dive into the new Les Paul Standard ‘50s with @nallecolt of @vintagetrouble ! Head to our YouTube channel “Gibson G… https://t.co/JYAa9oa19e
gibsonguitar,5/2/2019 15:25,"A Classic Reborn. The new Les Paul Standard ‘50s returns to the classic design that made it relevant, played and lo… https://t.co/FVp4SqBHGm"
gibsonguitar,5/1/2019 22:10,The new Les Paul Junior Tobacco Burst and Les Paul Special TV Yellow have been shaping sound across generations and… https://t.co/7llpcWnB1b
gibsonguitar,5/1/2019 15:16,Want to win a Les Paul Standard 60’s from the New Collection? Follow the link in our bio for your chance to win!… https://t.co/XgvtqP8Vr6
gibsonguitar,4/30/2019 23:09,1961 was just the beginning for the Gibson SG 🤘#gibson #theoriginal #onlyagibsonisgoodenough https://t.co/PbpYblawST
gibsonguitar,4/30/2019 18:34,Three Of A Kind #gibson #theoriginal #onlyagibsonisgoodenough https://t.co/5YN8tCs7lv
gibsonguitar,4/29/2019 22:35,They’re Here. #gibson #theoriginal #onlyagibsonisgoodenough https://t.co/TLgvdomCY8
gibsonguitar,4/29/2019 20:11,The Golden Era of Gibson returns with the Original Collection. #gibson #theoriginal #onlyagibsonisgoodenough https://t.co/ahC7jl0saX
gibsonguitar,4/29/2019 16:34,Want to dive into Gibson’s New Collection? Head to our YouTube Channel “Gibson Guitar” for some one on one demo vid… https://t.co/Sv97NQcD1I
gibsonguitar,4/29/2019 13:08,Be Iconic with Gibson’s new Original Collection. Head to our website to check out all of our new products! #gibson… https://t.co/zWP8FmOinw
gibsonguitar,4/26/2019 20:26,Be Legendary #gibson #theoriginal #onlyagibsonisgoodenough https://t.co/s5oicDmW0k
gibsonguitar,4/25/2019 22:10,Every 60th Anniversary ’59 Les Paul Standard will receive this beautiful commemorative switchplate medallion.… https://t.co/TnIUSxUaiY
gibsonguitar,4/25/2019 18:14,"The 60th Anniversary 1959 Les Paul Standard features a lightweight mahogany back, figured maple top, solid mahogany… https://t.co/oxhixOtP1x"
gibsonguitar,4/24/2019 18:02,Closeup #gibson #theoriginal #onlyagibsonisgoodenough https://t.co/2Qh9Yxx1YJ
